Id,Predicted
0,7.327601085498052
1,4.260019461784181
2,11.35787264741342
3,8.190192947141583
4,8.113224792350426
5,4.562106852199627
6,7.025067416412409
7,5.859539554323461
8,5.794427899418326
9,6.604347291783465
10,7.313712608950248
11,9.127469612514695
12,2.0921316738582005
13,5.650409076642483
14,5.513419267810543
15,4.485575104162268
16,6.352070000383194
17,-0.7521957283486556
18,2.684187063916065
19,3.8024450213870837
20,2.326055923904504
21,8.828017184014577
22,6.11186830068083
23,4.927615606999418
24,7.667578508914416
25,11.017174361598553
26,10.02292726547735
27,8.538499335350267
28,7.795154094800574
29,8.650213821285984
30,4.165296597473632
31,7.674583241619216
32,7.143046447308024
33,11.539722844338886
34,9.814382356239022
35,8.098206737017328
36,9.243842406335744
37,9.396568082583705
38,11.27002343586215
39,5.858615826552595
40,5.353426558182135
41,10.961860139212725
42,5.565373200876825
43,8.481757874755086
44,6.740064073416575
45,11.214679164501263
46,8.214502755662743
47,8.67066505510245
48,8.720545351695666
49,5.350125145324648
50,8.05568768910097
51,13.10068909918537
52,11.686818294388058
53,12.79220309824047
54,5.416620003399529
55,7.437011900657443
56,11.302935228054416
57,5.857909107479579
58,7.813121476666457
59,9.324352937138212
60,10.21288635014761
61,7.409055159619657
62,3.7178221575704056
63,3.256615340798035
64,13.248654518845665
65,12.816978794562555
66,12.362129393296094
67,5.973036859995527
68,9.287635948711742
69,3.7109733048705706
70,2.283900397001685
71,10.064233204462496
72,12.038365198727448
73,12.937801593171326
74,8.073102144926953
75,6.8038900574156225
76,11.391698338792803
77,11.841982550700763
78,14.653943071308671
79,4.996739626926094
80,6.5731297404851246
81,11.962382003034623
82,6.44953129334093
83,13.785924525086607
84,3.589338115733078
85,6.237279103552329
86,9.943786378564646
87,4.380134734712866
88,15.179718662635572
89,6.861454062888138
